"Identifier","Count"
"new_adj",23
"man_n",20
"now_adv",20
"young_adj",19
"find_v",18
"say_v",17
"small_adj",17
"good_adj",16
"honey_n",16
"we_pron",16
"ask_v",15
"more_adj",15
"street_n",15
"world_n",15
"bottom_n",14
"die_v",14
"edifice_n",14
"far_adv",14
"so_adv",14
"to_prep",14
"with_prep",14
"be_v",13
"fight_v",13
"old_adj",13
"other_adj",13
"place_n",13
"see_v",13
"seek_v",13
"shall_v",13
"well_adv",13
"whether_conj",13
"dead_adj",12
"garden_n",12
"speak_v",12
"thing_n",12
"best_adj",11
"day_n",11
"eye_n",11
"give_v",11
"matter_n",11
"miracle_n",11
"on_adv",11
"on_prep",11
"stand_v",11
"star_n",11
"there_adv",11
"under_prep",11
"which_pron",11
"worth_adj",11
"after_prep",10
"bring_v",10
"come_v",10
"death_n",10
"first_adj",10
"go_v",10
"let_v",10
"master_n",10
"of_prep",10
"open_adj",10
"rough_adj",10
"take_v",10
"true_adj",10
"understand_v",10
"what_pron",10
"where_adv",10
"whole_adj",10
"at_prep",9
"birth_n",9
"call_v",9
"draw_v",9
"earth_n",9
"fish_n",9
"follow_v",9
"for_prep",9
"full_adj",9
"hate_n",9
"home_n",9
"make_v",9
"manner_n",9
"name_n",9
"no_adv",9
"or_conj",9
"pure_adj",9
"queen_n",9
"sense_n",9
"side_n",9
"sight_n",9
"spirit_n",9
"such_adj",9
"this_pron",9
"though_adv",9
"though_conj",9
"up_adv",9
"way_n",9
"weep_v",9
"who_pron",9
"wish_v",9
"word_n",9
"all_adv",8
"and_conj",8
"attempt_v",8
"begin_v",8
"blind_adj",8
"by_prep",8
"die_n",8
"end_n",8
"feel_v",8
"gather_v",8
"great_adj",8
"grow_v",8
"he_pron",8
"heart_n",8
"hope_v",8
"if_conj",8
"in_adv",8
"in_prep",8
"know_v",8
"learn_v",8
"like_v",8
"love_n",8
"owe_v",8
"poet_n",8
"seldom_adv",8
"self_n",8
"serious_adj",8
"shell_n",8
"spread_v",8
"think_v",8
"through_prep",8
"waste_v",8
"wave_n",8
"when_adv",8
"wisdom_n",8
"age_n",7
"become_v",7
"bee_n",7
"belief_n",7
"body_n",7
"book_n",7
"broad_adj",7
"busy_adj",7
"chief_adj",7
"courage_n",7
"few_adj",7
"have_v",7
"hive_n",7
"how_adv",7
"insolent_adj",7
"it_pron",7
"life_n",7
"over_adv",7
"over_prep",7
"own_adj",7
"passion_n",7
"show_v",7
"shrink_v",7
"that_pron",7
"alchemy_n",6
"art_n",6
"believe_v",6
"certain_adj",6
"citizen_n",6
"common_adj",6
"conceive_v",6
"easy_adj",6
"fact_n",6
"fear_n",6
"from_prep",6
"horrible_adj",6
"horror_n",6
"judge_v",6
"kernel_n",6
"little_adj",6
"marvel_n",6
"mason_n",6
"never_adv",6
"people_n",6
"philosopher_n",6
"power_n",6
"real_adj",6
"science_n",6
"seem_v",6
"space_n",6
"stunt_v",6
"they_pron",6
"thus_adv",6
"urge_v",6
"above_adv",5
"advocate_n",5
"apt_adj",5
"architect_n",5
"author_n",5
"build_v",5
"calm_adj",5
"canker_n",5
"circle_n",5
"dreary_adj",5
"effect_n",5
"effort_n",5
"embrace_v",5
"empty_adj",5
"force_n",5
"hope_n",5
"human_adj",5
"interest_n",5
"kind_n",5
"literature_n",5
"mind_n",5
"number_n",5
"part_n",5
"philosophy_n",5
"planet_n",5
"raise_v",5
"remain_v",5
"sensitive_adj",5
"task_n",5
"teach_v",5
"term_n",5
"therefore_adv",5
"wish_n",5
"yet_adv",5
"ability_n",4
"admit_v",4
"aeroplane_n",4
"allow_v",4
"already_adv",4
"also_adv",4
"among_prep",4
"as_adv",4
"as_conj",4
"astronomy_n",4
"belong_v",4
"champion_n",4
"character_n",4
"circumstance_n",4
"creation_n",4
"curiosity_n",4
"customary_adj",4
"cycle_n",4
"deduction_n",4
"destroy_v",4
"discover_v",4
"distinguish_v",4
"doctrine_n",4
"eighteenth_adj",4
"enjoy_v",4
"etiquette_n",4
"foreign_adj",4
"form_n",4
"fully_adv",4
"happy_adj",4
"hypocrite_n",4
"induction_n",4
"influence_n",4
"inner_adj",4
"instance_n",4
"invention_n",4
"inventor_n",4
"logic_n",4
"loss_n",4
"moral_adj",4
"move_v",4
"much_adj",4
"nature_n",4
"order_n",4
"perfect_adj",4
"point_n",4
"posterity_n",4
"practical_adj",4
"problem_n",4
"protect_v",4
"public_adj",4
"quality_n",4
"question_n",4
"quote_v",4
"reader_n",4
"reason_n",4
"reclaim_v",4
"reflect_v",4
"regard_v",4
"remember_v",4
"renew_v",4
"serve_v",4
"simple_adj",4
"simplicity_n",4
"sort_n",4
"splendid_adj",4
"store_v",4
"student_n",4
"study_n",4
"subject_n",4
"taste_n",4
"than_conj",4
"thought_n",4
"together_adv",4
"triumph_n",4
"truly_adv",4
"use_v",4
"value_n",4
"violent_adj",4
"virtue_n",4
"able_adj",3
"absence_n",3
"absent_v",3
"accomplish_v",3
"achieve_v",3
"acquire_v",3
"active_adj",3
"activity_n",3
"actual_adj",3
"adjust_v",3
"admiration_n",3
"affair_n",3
"afford_v",3
"apart_adv",3
"appear_v",3
"appearance_n",3
"apply_v",3
"argument_n",3
"arise_v",3
"arrive_v",3
"artificial_adj",3
"associate_v",3
"attention_n",3
"attitude_n",3
"battle_n",3
"benefit_n",3
"between_prep",3
"brilliant_adj",3
"capacity_n",3
"casual_adj",3
"class_n",3
"clear_n",3
"complete_adj",3
"conclusion_n",3
"conflict_n",3
"consequence_n",3
"consider_v",3
"consideration_n",3
"contemplation_n",3
"contention_n",3
"contortion_n",3
"contrary_adj",3
"core_n",3
"country_n",3
"crudity_n",3
"daily_adj",3
"decide_v",3
"defect_n",3
"define_v",3
"delight_n",3
"demand_v",3
"depend_v",3
"dependent_adj",3
"derision_n",3
"derive_v",3
"deserve_v",3
"desirable_adj",3
"desire_v",3
"determination_n",3
"determine_v",3
"difference_n",3
"different_adj",3
"direct_adj",3
"display_v",3
"distant_adj",3
"ellipse_n",3
"endless_adj",3
"engender_v",3
"enlarge_v",3
"epic_adj",3
"erroneous_adj",3
"ever_adv",3
"evidence_n",3
"example_n",3
"excellence_n",3
"exist_v",3
"experience_n",3
"experiment_n",3
"faculty_n",3
"falsify_v",3
"fault_n",3
"foreman_n",3
"form_v",3
"formation_n",3
"former_adj",3
"future_adj",3
"generation_n",3
"habit_n",3
"hardly_adv",3
"humanity_n",3
"ignorance_n",3
"illustration_n",3
"imagine_v",3
"impair_v",3
"imply_v",3
"incident_n",3
"increase_v",3
"inductive_adj",3
"inestimable_adj",3
"inform_v",3
"information_n",3
"ingenuity_n",3
"inquire_v",3
"insight_n",3
"insistence_n",3
"instead_adv",3
"instinct_n",3
"instruction_n",3
"intellectual_adj",3
"intrinsic_adj",3
"involve_v",3
"isolated_adj",3
"languish_v",3
"legitimate_adj",3
"material_adj",3
"mention_n",3
"merit_n",3
"method_n",3
"ministry_n",3
"modern_adj",3
"natural_adj",3
"necessary_adj",3
"negative_adj",3
"notable_adj",3
"object_n",3
"objection_n",3
"once_adv",3
"ordinary_adj",3
"particular_adj",3
"permanent_adj",3
"personal_adj",3
"pierce_v",3
"poem_n",3
"positive_adj",3
"possibility_n",3
"possible_adj",3
"practice_n",3
"pre-eminent_adj",3
"predecessor_n",3
"prefer_v",3
"preserve_v",3
"proceed_v",3
"production_n",3
"profound_adj",3
"progress_n",3
"proportion_n",3
"psychology_n",3
"purpose_n",3
"quiver_v",3
"reflection_n",3
"region_n",3
"relation_n",3
"represent_v",3
"require_v",3
"response_n",3
"restore_v",3
"return_v",3
"revolution_n",3
"sacrifice_v",3
"satisfaction_n",3
"scientific_adj",3
"secret_n",3
"society_n",3
"solid_adj",3
"source_n",3
"spasmodic_adj",3
"successor_n",3
"sufficient_adj",3
"superior_adj",3
"supply_v",3
"suppose_v",3
"surround_v",3
"systematic_adj",3
"tradition_n",3
"transform_v",3
"translation_n",3
"treat_v",3
"truth_n",3
"try_v",3
"unable_adj",3
"undue_adj",3
"universality_n",3
"universe_n",3
"utility_n",3
"vanity_n",3
"verify_v",3
"view_n",3
"vision_n",3
"whom_pron",3
"wilderness_n",3
"about_prep",2
"academic_adj",2
"achievement_n",2
"aim_n",2
"answer_v",2
"appeal_n",2
"ascertain_v",2
"atmosphere_n",2
"attack_v",2
"attendant_adj",2
"away_adv",2
"blame_n",2
"claim_n",2
"classic_n",2
"command_n",2
"confine_v",2
"connect_v",2
"control_v",2
"cosmic_adj",2
"desire_n",2
"despair_n",2
"detach_v",2
"detail_n",2
"difficult_adj",2
"difficulty_n",2
"disappoint_v",2
"disinterested_adj",2
"disparage_v",2
"doubt_n",2
"education_n",2
"emphasis_n",2
"encourage_v",2
"eradicate_v",2
"escape_n",2
"essential_adj",2
"facilitate_v",2
"generous_adj",2
"geology_n",2
"germ_n",2
"identity_n",2
"ignore_v",2
"importance_n",2
"indicate_v",2
"individual_n",2
"initial_adj",2
"inquiry_n",2
"knowledge_n",2
"lack_v",2
"literary_adj",2
"massive_adj",2
"means_n",2
"mental_adj",2
"mention_v",2
"need_v",2
"nothing_pron",2
"objective_adj",2
"otherwise_adv",2
"ought_v",2
"outcome_n",2
"passionate_adj",2
"pattern_n",2
"persuade_v",2
"phenomenon_n",2
"primary_adj",2
"private_adj",2
"progressive_adj",2
"refusal_n",2
"research_n",2
"retire_v",2
"search_n",2
"selection_n",2
"slowly_adv",2
"something_pron",2
"still_adv",2
"success_n",2
"supreme_adj",2
"system_n",2
"theory_n",2
"too_adv",2
"topic_n",2
"unify_v",2
"upon_prep",2
"variety_n",2
"vast_adj",2
"absorption_n",1
"accelerate_v",1
"accurate_adj",1
"act_n",1
"add_v",1
"allusion_n",1
"almost_adv",1
"always_adv",1
"amplification_n",1
"apparatus_n",1
"appreciate_v",1
"appropriate_adj",1
"approximate_v",1
"artistic_adj",1
"aspect_n",1
"attainment_n",1
"because_conj",1
"cell_n",1
"century_n",1
"classical_adj",1
"compensate_v",1
"conduct_v",1
"conflict_v",1
"considerable_adj",1
"constitute_v",1
"constitutional_adj",1
"construct_v",1
"contact_n",1
"contemporary_adj",1
"contort_v",1
"contribute_v",1
"could_v",1
"create_v",1
"crude_adj",1
"culture_n",1
"cumulative_adj",1
"definite_adj",1
"deliberate_adj",1
"demonstrate_v",1
"deteriorate_v",1
"devote_v",1
"discovery_n",1
"educational_adj",1
"elementary_adj",1
"end_v",1
"enlargement_n",1
"environment_n",1
"exclude_v",1
"exclusive_adj",1
"expect_v",1
"extinct_adj",1
"fairly_adv",1
"fighting_n",1
"formerly_adv",1
"fragment_n",1
"fundamental_adj",1
"future_n",1
"genius_n",1
"heavenly_adj",1
"himself_pron",1
"identify_v",1
"illustrate_v",1
"impersonal_adj",1
"important_adj",1
"impulse_n",1
"include_v",1
"indisputable_adj",1
"infer_v",1
"inferiority_n",1
"inherent_adj",1
"insincerity_n",1
"intelligent_adj",1
"into_prep",1
"introduce_v",1
"invent_v",1
"ion_n",1
"its_pron",1
"itself_pron",1
"layer_n",1
"little_n",1
"long_adv",1
"medium_n",1
"might_v",1
"militate_v",1
"moderate_adj",1
"myself_pron",1
"neglect_v",1
"neutral_adj",1
"not_adv",1
"obvious_adj",1
"often_adv",1
"originality_n",1
"overlook_v",1
"pervade_v",1
"population_n",1
"praise_n",1
"prevent_v",1
"previous_adj",1
"produce_v",1
"pugnacious_adj",1
"quite_adv",1
"quotation_n",1
"read_n",1
"remote_adj",1
"rival_n",1
"second_n",1
"simultaneous_adj",1
"since_conj",1
"spontaneity_n",1
"subjective_adj",1
"subsidiary_adj",1
"suggest_v",1
"suppression_n",1
"sweetness_n",1
"temporary_adj",1
"those_pron",1
"trite_adj",1
"trivial_adj",1
"understanding_n",1
"unit_n",1
"vandalism_n",1
"various_adj",1
"velocity_n",1
"wealth_n",1
"wholly_adv",1
"within_prep",1
"without_prep",1
"worker_n",1
"yesterday_n",1
"zest_n",1
